planet_name,star_number_per_system,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,stellar_luminosity_solar_lum,planet_orbital_velocity,habitable_zone_main_seq
Kepler-1788 b,1.0,KV,2.800118350125,0.03424,2.0680841016666665,3.977219613036488,951.4,4756.375,0.704,0.686,4.57808,0.2275828434465952,4.476825471866386,0
Kepler-1789 b,1.0,GV,80.231961845,0.3553,2.83137505,7.224288173053818,392.8,5571.625,0.8891666666666668,0.9314,4.52205,0.683571126759625,1.619367791241345,0
Kepler-179 b,1.0,GV,2.735903699790909,0.0361971428571428,1.6491111111111112,3.3891422649764005,1069.4,5284.690833333333,0.7798571428571429,0.87075,4.5626880000000005,0.4255967463542537,4.905514679425024,0
Kepler-179 c,1.0,GV,6.400143649109091,0.0639857142857142,2.0,5.426417309790687,804.6,5284.690833333333,0.7798571428571428,0.8707499999999999,4.562688,0.4255967463542535,3.68960789002144,0
Kepler-1790 b,1.0,FV,31.58884087555556,0.2029316666666666,3.1446145,8.818162222688203,617.6,6038.111111111111,1.374772,1.110142857142857,4.33443,2.2540088062443253,2.339319318652393,0
Kepler-1791 b,1.0,FV,7.720852070499999,0.0765,3.12103321,8.692945178658551,1069.8,6113.75,1.1739057142857143,0.9772,4.290500000000001,1.727376419051109,3.574670329147533,0
Kepler-1792 b,1.0,KV,4.195778638375,0.04924,2.51990972,5.789372119178145,1045.4,5143.0,1.005,0.8779999999999999,4.429535,0.633998267002633,4.223409765756565,0
Kepler-1793 b,1.0,GV,8.779958971625,0.0783,3.79037518,12.574657913661571,710.6,5213.6900000000005,0.7646,0.8469999999999999,4.5706375,0.3875602765528855,3.289544820660506,0
Kepler-1794 b,1.0,KV,9.762933077625,0.08188,1.88571046,4.700662001887787,694.6,5017.375,0.8016666666666666,0.773,4.55883,0.3654127932187466,3.073093782458481,0
Kepler-1795 b,1.0,KV,13.3601986975,0.09908,1.833836018333333,4.391365809529656,515.2,4482.333333333333,0.6988,0.7632000000000001,4.642166666666666,0.1768529234261975,2.7758830554327374,0
Kepler-1796 b,1.0,FV,29.4556919575,0.18812,2.75047868,6.837159911373162,597.6,6052.5,0.9491666666666668,1.0216666666666667,4.4887975,1.084710885477166,2.3308381136024634,0
Kepler-1797 b,1.0,FV,23.35942804375,0.16416,2.8979574033333333,7.5504840650411795,685.2,6110.8925,1.0141666666666664,1.069,4.4352350000000005,1.2868475198026306,2.5522908578924395,0
Kepler-1798 b,1.0,KV,16.856260647777773,0.10686,1.97415893,5.256931947272015,405.6,4037.985,0.5738,0.5753333333333334,4.677415,0.0785361745260323,2.3207436316854206,0
Kepler-1799 b,1.0,GV,11.92972058125,0.10244,4.12801189,40.4654013439468,766.2,5753.875,0.9125,1.016,4.4017,0.8188366777139499,3.1498295504296787,0
Kepler-18 b,1.0,GV,3.5047011512357145,0.0440147099125,1.9666,6.9,1156.0,5383.333333333333,1.0084445,0.9395,4.378612,0.7663002039701388,4.620877486962996,0
